Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2015-01-01,Neujahr,New Year's Day,DE,False,True,,Public,
2015-01-06,Heilige Drei Könige,Epiphany,DE,False,False,,Public,"DE-BW,DE-BY,DE-ST"
2015-04-03,Karfreitag,Good Friday,DE,False,True,,Public,
2015-04-05,Ostersonntag,Easter Sunday,DE,False,False,,Public,DE-BB
2015-04-06,Ostermontag,Easter Monday,DE,False,True,,Public,
2015-05-01,Tag der Arbeit,Labour Day,DE,False,True,,Public,
2015-05-14,Christi Himmelfahrt,Ascension Day,DE,False,True,,Public,
2015-05-24,Pfingstsonntag,Pentecost,DE,False,False,,Public,"DE-BB,DE-HE"
2015-05-25,Pfingstmontag,Whit Monday,DE,False,True,,Public,
2015-06-04,Fronleichnam,Corpus Christi,DE,False,False,,Public,"DE-BW,DE-BY,DE-HE,DE-NW,DE-RP,DE-SL"
2015-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,,Public,DE-SL
2015-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,Public,
2015-10-31,Reformationstag,Reformation Day,DE,False,False,,Public,"DE-BB,DE-MV,DE-SN,DE-ST,DE-TH"
2015-11-01,Allerheiligen,All Saints' Day,DE,False,False,,Public,"DE-BW,DE-BY,DE-NW,DE-RP,DE-SL"
2015-11-18,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,,Public,DE-SN
2015-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,Public,
2015-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,Public,
