Datum,Umschlag
2013-02-28,1
2013-03-01,1
2013-03-02,1
2013-03-03,1
2014-02-27,1
2014-02-28,1
2014-03-01,1
2014-03-02,1
2015-02-25,1
2015-02-26,1
2015-02-27,1
2015-02-28,1
2016-03-03,1
2016-03-04,1
2016-03-05,1
2016-03-06,1
2017-03-02,1
2017-03-03,1
2017-03-04,1
2017-03-05,1
2018-03-01,1
2018-03-02,1
2018-03-03,1
2018-03-04,1

