Datum,Uhrzeit,Heim_Auswärts
2017-09-21,19:00 Uhr,A
2017-10-01,15:00 Uhr,A
2017-10-05,20:30 Uhr,A
2017-10-12,19:00 Uhr,H
2017-10-21,14:05 Uhr,A
2017-11-02,19:00 Uhr,H
2017-11-09,19:00 Uhr,A
2017-11-16,19:00 Uhr,H
2017-11-23,19:00 Uhr,A
2017-12-02,20:30 Uhr,H
2017-12-10,15:00 Uhr,A
2017-12-14,19:00 Uhr,H
2017-12-21,20:45 Uhr,A
2017-12-27,19:00 Uhr,H
2018-02-11,12:30 Uhr,A
2018-02-15,19:00 Uhr,H
2018-02-22,19:00 Uhr,A
2018-03-01,19:00 Uhr,H
2018-03-11,12:30 Uhr,A
2018-03-15,19:00 Uhr,H
2018-03-24,18:10 Uhr,H
2018-03-29,19:00 Uhr,H
2018-04-15,12:30 Uhr,A
2018-04-19,19:00 Uhr,H
2018-04-26,19:00 Uhr,A
2018-05-10,19:00 Uhr,H
2018-05-20,12:30 Uhr,A
2018-05-31,19:00 Uhr,H
2018-06-03,15:00 Uhr,A
